num_acc;catv;obs;obsm;choc;manv;num_veh
2011000264;30;0;2;1;6;A01
2011000264;30;0;2;1;1;B02
2011000265;7;13;0;1;14;A01
2011000266;7;0;1;2;2;A01
2011000267;2;0;2;1;17;B02
2011000267;7;0;0;6;15;A01
2011000268;30;0;2;1;15;A01
2011000269;2;0;2;1;1;B02
2011000269;7;0;2;3;13;A01
2011000270;7;0;2;3;15;B02
2011000270;33;0;2;3;1;A01
2011000271;7;0;2;2;9;A01
2011000271;2;0;2;3;1;B02
2011000272;33;0;2;1;1;A01
2011000272;7;0;2;7;15;B02
2011000273;7;0;1;1;1;A01
2011000274;7;0;2;2;15;A01
2011000274;7;0;2;3;1;B02
2011000275;1;0;2;8;1;B02
2011000275;7;0;2;8;13;A01
2011000276;7;0;2;1;2;B02
2011000276;33;13;2;3;1;C03
2011000276;7;8;2;4;15;A01
2011000277;7;0;1;2;1;A01
2011000278;7;0;2;3;1;A01
2011000278;7;0;2;1;15;B02
2011000279;10;0;2;4;15;A01
2011000279;33;0;2;1;2;B02
2011000280;2;0;2;2;17;A01
2011000280;7;0;2;3;15;B02
2011000281;33;3;0;1;1;A01
2011000282;7;15;1;1;14;A01
2011000283;7;0;2;2;1;A01
2011000283;1;0;0;4;1;B02
2011000284;7;8;0;8;1;A01
2011000285;33;0;0;4;2;B02
2011000285;33;0;0;1;2;A01
2011000286;7;0;2;8;1;C03
2011000286;7;0;2;3;1;A01
2011000286;7;3;2;3;1;B02
2011000287;7;8;2;2;1;B02
2011000287;7;0;2;3;19;A01
2011000288;7;8;0;7;13;A01
2011000289;7;13;0;1;0;A01
2011000290;7;0;2;6;1;A01
2011000290;7;0;2;3;1;B02
2011000291;7;2;0;3;1;A01
2011000292;7;0;0;2;1;A01
2011000292;1;0;2;1;9;B02
2011000293;7;0;2;1;1;A01
2011000293;30;0;2;5;19;B02
2011000294;7;1;0;1;13;A01
2011000295;10;0;2;3;1;B02
2011000295;10;0;2;2;19;A01
2011000296;7;0;2;3;15;A01
2011000296;33;0;2;1;1;B02
2011000297;10;2;0;7;0;A01
2011000298;7;0;2;4;1;B02
2011000298;7;0;2;1;2;A01
2011000299;7;8;0;7;0;A01
2011000300;7;0;6;1;1;A01
2011000301;33;0;2;8;1;B02
2011000301;7;0;0;3;15;A01
2011000302;7;0;1;1;1;A01
2011000303;7;0;2;1;1;B02
2011000303;7;0;2;1;1;A01
2011000304;10;0;6;1;1;A01
2011000305;7;0;2;7;19;A01
2011000305;33;0;2;1;1;B02
2011000306;7;0;2;1;17;A01
2011000306;36;0;2;6;15;B02
2011000307;7;0;1;1;1;A01
2011000308;2;0;2;1;13;A01
2011000308;7;0;2;1;1;B02
2011000309;31;1;2;1;1;A01
2011000309;7;0;2;3;16;B02
2011000310;7;0;2;1;5;A01
2011000310;30;0;2;1;1;B02
2011000311;7;0;2;2;1;A01
2011000311;2;0;2;1;15;B02
2011000312;7;2;0;8;19;A01
2011000313;7;0;9;2;2;A01
2011000313;1;0;2;4;2;B02
