Num_Acc;catr;circ;prof;surf;infra;situ
2015000567;3;2;2;2;0;1
2015000568;3;2;1;2;0;1
2015000569;3;2;0;2;0;0
2015000570;3;2;4;1;0;3
2015000571;3;2;1;1;0;1
2015000572;3;2;1;1;0;1
2015000573;3;2;2;1;0;1
2015000574;3;3;2;1;0;1
2015000575;3;2;3;9;0;1
2015000576;3;2;1;1;0;1
2015000577;3;2;0;1;0;1
2015000578;3;2;1;1;0;1
2015000579;4;2;1;1;0;1
2015000580;3;2;1;1;0;4
2015000581;3;2;1;1;0;1
2015000582;3;2;0;1;0;1
2015000583;3;2;1;1;0;3
2015000584;3;2;1;1;5;0
2015000585;4;2;1;1;0;1
2015000586;3;2;0;1;0;1
2015000587;3;2;0;1;0;3
2015000588;2;3;1;5;0;1
2015000589;4;2;2;1;0;1
2015000590;4;2;1;1;0;1
2015000591;3;2;1;1;0;3
2015000592;3;2;2;2;0;1
2015000593;3;2;1;1;0;1
2015000594;3;2;1;2;0;1
2015000595;3;2;1;1;0;1
2015000596;3;2;3;1;0;1
2015000597;4;2;1;1;0;1
2015000598;3;2;0;1;0;1
2015000599;3;2;0;1;0;1
2015000600;3;2;2;1;2;1
2015000601;3;2;1;1;0;1
2015000602;3;2;1;1;0;1
2015000603;3;2;2;0;0;1
2015000604;3;2;1;1;0;1
2015000605;3;2;1;2;0;0
2015000606;3;2;1;2;0;1
2015000607;3;2;1;1;0;1
2015000608;3;2;1;1;0;4
2015000609;3;2;1;1;0;1
2015000610;4;2;1;1;0;1
2015000611;3;2;2;1;0;1
2015000612;3;2;2;1;0;1
2015000613;3;2;1;1;0;0
2015000614;3;2;1;1;0;1
2015000615;3;0;1;1;5;1
2015000616;3;2;1;1;0;1
2015000617;3;2;1;2;0;1
2015000618;3;2;1;1;0;1
2015000619;3;2;1;1;0;1
2015000620;3;2;3;1;0;1
2015000621;3;2;1;1;5;1
2015000622;3;2;1;8;0;1
2015000623;3;2;1;1;0;1
2015000624;3;2;1;2;0;1
2015000625;3;2;1;1;0;1
2015000626;3;2;0;1;0;1
2015000627;3;2;1;2;0;1
2015000628;4;2;1;1;0;1
2015000629;3;2;1;2;0;1
2015000630;4;2;0;9;0;1
2015000631;3;2;1;1;0;1
2015000632;3;2;1;1;0;1
2015000633;3;2;1;9;0;1
2015000634;3;2;1;1;0;1
2015000635;3;2;1;2;0;1
2015000636;3;2;1;2;0;1
2015000637;3;2;1;2;0;1
2015000638;3;2;1;1;0;1
2015000639;3;0;1;2;0;1
2015000640;3;2;1;1;0;1
